study_id,score,combo,event_type,event_actuator,event_receiver,elapse_time,distance_between_players,distance_since_last_displacement_trigger,distance_trend,movement_trend,is_first_playthrough
ByE9gBlhnymF,0,0,EnemyHit,P2,P2Enemy,3,0,-1,None,None,True
ByE9gBlhnymF,0,0,Displacement,P2,P1,3,4.17,2.01,Farther,Away,True
ByE9gBlhnymF,0,0,Displacement,P1,P2,3,4.05,2.02,Farther,Toward,True
ByE9gBlhnymF,0,0,EnemyHit,P2,P2Enemy,4,4.17,-1,None,None,True
ByE9gBlhnymF,0,0,EnemyHit,P1,P1Enemy,4,4.05,-1,None,None,True
ByE9gBlhnymF,0,0,Buff,P1,P2Enemy,4,4.05,-1,None,None,True
ByE9gBlhnymF,0,1,EnemyKill,P2,P2Enemy,5,4.17,-1,None,None,True
ByE9gBlhnymF,0,1,EnemyHit,P1,P1Enemy,6,4.05,-1,None,None,True
ByE9gBlhnymF,0,2,EnemyKill,P1,P1Enemy,6,4.05,-1,None,None,True
ByE9gBlhnymF,0,2,EnemyHit,P2,P2Enemy,6,4.17,-1,None,None,True
ByE9gBlhnymF,0,2,BulletMiss,P2,P2Enemy,7,4.17,-1,None,None,True
ByE9gBlhnymF,20,2,SecondaryAttack,P1,P1Enemy,7,4.05,-1,None,None,True
ByE9gBlhnymF,20,2,EnemyHit,P1,P1Enemy,8,4.05,-1,None,None,True
ByE9gBlhnymF,32,0,BulletMiss,P1,P1Enemy,8,4.17,-1,None,None,True
ByE9gBlhnymF,32,0,BulletMiss,P2,P2Enemy,8,4.17,-1,None,None,True
ByE9gBlhnymF,32,0,EnemyHit,P2,P2Enemy,8,4.17,-1,None,None,True
ByE9gBlhnymF,32,0,BulletMiss,P1,P1Enemy,9,4.17,-1,None,None,True
ByE9gBlhnymF,32,0,BulletMiss,P2,P2Enemy,9,4.17,-1,None,None,True
ByE9gBlhnymF,32,0,EnemyHit,P1,P1Enemy,9,4.05,-1,None,None,True
ByE9gBlhnymF,32,0,EnemyHit,P1,P1Enemy,10,4.05,-1,None,None,True
ByE9gBlhnymF,32,0,EnemyHit,P2,P2Enemy,10,4.17,-1,None,None,True
ByE9gBlhnymF,32,0,BulletMiss,P2,P2Enemy,10,4.17,-1,None,None,True
ByE9gBlhnymF,32,0,BulletMiss,P1,P1Enemy,10,4.17,-1,None,None,True
ByE9gBlhnymF,32,0,BulletMiss,P2,P2Enemy,10,4.17,-1,None,None,True
ByE9gBlhnymF,32,1,EnemyKill,P2,P2Enemy,10,4.17,-1,None,None,True
ByE9gBlhnymF,32,1,EnemyHit,P1,P1Enemy,11,4.05,-1,None,None,True
ByE9gBlhnymF,32,1,BulletMiss,P1,P1Enemy,11,4.17,-1,None,None,True
ByE9gBlhnymF,32,2,EnemyKill,P1,P1Enemy,11,4.05,-1,None,None,True
ByE9gBlhnymF,32,2,EnemyHit,P2,P2Enemy,11,4.17,-1,None,None,True
ByE9gBlhnymF,32,3,EnemyKill,P1,P1Enemy,11,4.05,-1,None,None,True
ByE9gBlhnymF,32,3,BulletMiss,P2,P2Enemy,12,4.17,-1,None,None,True
ByE9gBlhnymF,32,3,BulletMiss,P2,P2Enemy,12,4.17,-1,None,None,True
ByE9gBlhnymF,62,3,BulletMiss,P2,P2Enemy,13,4.17,-1,None,None,True
ByE9gBlhnymF,98,0,EnemyHit,P1,P1Enemy,13,4.05,-1,None,None,True
ByE9gBlhnymF,98,0,BulletMiss,P2,P2Enemy,14,4.17,-1,None,None,True
ByE9gBlhnymF,98,0,Nerf,P1,P2Enemy,14,4.05,-1,None,None,True
ByE9gBlhnymF,98,0,Buff,P2,P2Enemy,14,4.17,-1,None,None,True
ByE9gBlhnymF,98,0,EnemyHit,P1,P1Enemy,14,4.05,-1,None,None,True
ByE9gBlhnymF,88,0,GettingHit,P2Enemy,P2,15,4.17,-1,None,None,True
ByE9gBlhnymF,88,0,BulletMiss,P2,P2Enemy,15,4.17,-1,None,None,True
ByE9gBlhnymF,88,0,EnemyHit,P2,P2Enemy,16,4.17,-1,None,None,True
ByE9gBlhnymF,88,0,BulletMiss,P1,P1Enemy,16,4.17,-1,None,None,True
ByE9gBlhnymF,88,0,EnemyHit,P2,P2Enemy,16,4.17,-1,None,None,True
ByE9gBlhnymF,88,0,EnemyHit,P2,P2Enemy,16,4.17,-1,None,None,True
ByE9gBlhnymF,88,0,EnemyHit,P2,P2Enemy,16,4.17,-1,None,None,True
ByE9gBlhnymF,88,0,BulletMiss,P1,P1Enemy,16,4.17,-1,None,None,True
ByE9gBlhnymF,88,0,BulletMiss,P2,P2Enemy,17,4.17,-1,None,None,True
ByE9gBlhnymF,88,0,EnemyKill,P1,P1Enemy,17,4.05,-1,None,None,True
ByE9gBlhnymF,88,0,BulletMiss,P1,P1Enemy,17,4.17,-1,None,None,True
ByE9gBlhnymF,88,0,EnemyHit,P2,P2Enemy,17,4.17,-1,None,None,True
ByE9gBlhnymF,88,0,Displacement,P1,P2,17,11.56,2.01,Farther,Away,True
ByE9gBlhnymF,88,0,EnemyHit,P2,P2Enemy,18,4.17,-1,None,None,True
ByE9gBlhnymF,88,0,SecondaryAttack,P1,P1Enemy,18,11.56,-1,None,None,True
ByE9gBlhnymF,88,0,BulletMiss,P2,P2Enemy,18,4.17,-1,None,None,True
ByE9gBlhnymF,94,1,EnemyKill,P2,P2Enemy,18,4.17,-1,None,None,True
ByE9gBlhnymF,94,1,BulletMiss,P2,P2Enemy,19,4.17,-1,None,None,True
ByE9gBlhnymF,94,1,EnemyHit,P1,P1Enemy,19,11.56,-1,None,None,True
ByE9gBlhnymF,94,1,BulletMiss,P1,P1Enemy,19,4.17,-1,None,None,True
ByE9gBlhnymF,94,1,BulletMiss,P2,P2Enemy,19,4.17,-1,None,None,True
ByE9gBlhnymF,94,1,EnemyHit,P2,P2Enemy,19,4.17,-1,None,None,True
ByE9gBlhnymF,94,1,BulletMiss,P2,P2Enemy,20,4.17,-1,None,None,True
ByE9gBlhnymF,94,2,EnemyKill,P2,P2Enemy,20,4.17,-1,None,None,True
ByE9gBlhnymF,94,2,EnemyHit,P1,P1Enemy,20,11.56,-1,None,None,True
ByE9gBlhnymF,106,3,EnemyKill,P2,P2Enemy,21,4.17,-1,None,None,True
ByE9gBlhnymF,106,3,BulletMiss,P1,P1Enemy,21,4.17,-1,None,None,True
ByE9gBlhnymF,106,3,Displacement,P1,P2,22,12.54,2.01,Farther,Sideways,True
ByE9gBlhnymF,106,3,BulletMiss,P1,P1Enemy,22,4.17,-1,None,None,True
ByE9gBlhnymF,136,3,BulletMiss,P1,P1Enemy,22,4.17,-1,None,None,True
ByE9gBlhnymF,154,3,BulletMiss,P2,P2Enemy,23,4.17,-1,None,None,True
ByE9gBlhnymF,154,0,EnemyHit,P2,P2Enemy,24,4.17,-1,None,None,True
ByE9gBlhnymF,154,1,EnemyKill,P2,P2Enemy,24,4.17,-1,None,None,True
ByE9gBlhnymF,154,1,BulletMiss,P1,P1Enemy,24,4.17,-1,None,None,True
ByE9gBlhnymF,154,1,EnemyHit,P2,P2Enemy,25,4.17,-1,None,None,True
ByE9gBlhnymF,157,1,BulletMiss,P2,P2Enemy,26,4.17,-1,None,None,True
ByE9gBlhnymF,157,0,Buff,P1,P1Enemy,26,12.54,-1,None,None,True
ByE9gBlhnymF,157,0,EnemyHit,P2,P2Enemy,26,4.17,-1,None,None,True
ByE9gBlhnymF,157,0,BulletMiss,P2,P2Enemy,26,4.17,-1,None,None,True
ByE9gBlhnymF,157,0,BulletMiss,P2,P2Enemy,27,4.17,-1,None,None,True
ByE9gBlhnymF,157,0,EnemyHit,P2,P2Enemy,27,4.17,-1,None,None,True
ByE9gBlhnymF,157,1,EnemyKill,P2,P2Enemy,28,4.17,-1,None,None,True
ByE9gBlhnymF,157,1,Buff,P2,P1Enemy,28,4.17,-1,None,None,True
ByE9gBlhnymF,157,1,SecondaryAttack,P1,P1Enemy,28,12.54,-1,None,None,True
ByE9gBlhnymF,157,2,EnemyKill,P1,P1Enemy,28,12.54,-1,None,None,True
ByE9gBlhnymF,157,2,EnemyHit,P1,P1Enemy,28,12.54,-1,None,None,True
ByE9gBlhnymF,157,2,BulletMiss,P2,P2Enemy,28,4.17,-1,None,None,True
ByE9gBlhnymF,157,2,EnemyHit,P1,P1Enemy,28,12.54,-1,None,None,True
ByE9gBlhnymF,157,2,EnemyHit,P1,P1Enemy,28,12.54,-1,None,None,True
ByE9gBlhnymF,157,2,BulletMiss,P2,P2Enemy,29,4.17,-1,None,None,True
ByE9gBlhnymF,163,2,EnemyHit,P2,P2Enemy,29,4.17,-1,None,None,True
