study_id,score,combo,event_type,event_actuator,event_receiver,elapse_time,distance_between_players,distance_since_last_displacement_trigger,distance_trend,movement_trend,is_first_playthrough
sxex0HAnLZ5J,0,0,EnemyHit,P2,P2Enemy,4,0.00,-1.00,None,None,True
sxex0HAnLZ5J,0,0,Displacement,P2,P1,5,4.00,2.00,Farther,Away,True
sxex0HAnLZ5J,0,0,EnemyHit,P2,P2Enemy,5,4.00,-1.00,None,None,True
sxex0HAnLZ5J,0,0,EnemyHit,P1,P1Enemy,6,0.00,-1.00,None,None,True
sxex0HAnLZ5J,0,0,EnemyHit,P2,P2Enemy,6,4.00,-1.00,None,None,True
sxex0HAnLZ5J,0,0,EnemyHit,P2,P2Enemy,6,4.00,-1.00,None,None,True
sxex0HAnLZ5J,0,0,EnemyHit,P2,P2Enemy,6,4.00,-1.00,None,None,True
sxex0HAnLZ5J,0,1,EnemyKill,P2,P2Enemy,7,4.00,-1.00,None,None,True
sxex0HAnLZ5J,0,1,EnemyHit,P1,P1Enemy,7,0.00,-1.00,None,None,True
sxex0HAnLZ5J,0,1,EnemyHit,P2,P2Enemy,7,4.00,-1.00,None,None,True
sxex0HAnLZ5J,0,1,Displacement,P2,P1,7,6.26,2.01,Farther,Away,True
sxex0HAnLZ5J,0,2,EnemyKill,P1,P1Enemy,8,0.00,-1.00,None,None,True
sxex0HAnLZ5J,0,3,EnemyKill,P2,P2Enemy,8,6.26,-1.00,None,None,True
sxex0HAnLZ5J,18,3,Displacement,P1,P2,9,6.84,2.01,Farther,Sideways,True
sxex0HAnLZ5J,54,3,EnemyHit,P1,P1Enemy,10,6.84,-1.00,None,None,True
sxex0HAnLZ5J,54,0,EnemyHit,P1,P1Enemy,11,6.84,-1.00,None,None,True
sxex0HAnLZ5J,54,0,BulletMiss,P2,P2Enemy,11,6.26,-1.00,None,None,True
sxex0HAnLZ5J,54,0,EnemyHit,P1,P1Enemy,11,6.84,-1.00,None,None,True
sxex0HAnLZ5J,44,0,GettingHit,P1Enemy,P1,12,6.84,-1.00,None,None,True
sxex0HAnLZ5J,44,0,EnemyHit,P1,P1Enemy,13,6.84,-1.00,None,None,True
sxex0HAnLZ5J,44,0,Displacement,P2,P1,13,5.61,2.00,Closer,Sideways,True
sxex0HAnLZ5J,44,0,EnemyHit,P1,P1Enemy,13,6.84,-1.00,None,None,True
sxex0HAnLZ5J,44,0,BulletMiss,P2,P2Enemy,13,5.61,-1.00,None,None,True
sxex0HAnLZ5J,44,0,BulletMiss,P2,P2Enemy,14,5.61,-1.00,None,None,True
sxex0HAnLZ5J,44,0,EnemyHit,P2,P2Enemy,14,5.61,-1.00,None,None,True
