study_id,score,combo,event_type,event_actuator,event_receiver,elapse_time,distance_between_players,distance_since_last_displacement_trigger,distance_trend,movement_trend,is_first_playthrough
qn3l5oboEyx5,0,0,EnemyHit,P2,P2Enemy,3,0,-1,None,None,True
qn3l5oboEyx5,0,0,EnemyHit,P2,P2Enemy,4,0,-1,None,None,True
qn3l5oboEyx5,0,0,Displacement,P1,P2,4,2.64,2.01,Closer,Toward,True
qn3l5oboEyx5,0,0,EnemyHit,P1,P1Enemy,6,2.64,-1,None,None,True
qn3l5oboEyx5,0,0,EnemyHit,P2,P2Enemy,6,0,-1,None,None,True
qn3l5oboEyx5,0,0,EnemyHit,P2,P2Enemy,7,0,-1,None,None,True
qn3l5oboEyx5,0,0,EnemyHit,P1,P1Enemy,7,2.64,-1,None,None,True
qn3l5oboEyx5,0,1,EnemyKill,P2,P2Enemy,8,0,-1,None,None,True
qn3l5oboEyx5,0,1,BulletMiss,P1,P1Enemy,8,0,-1,None,None,True
qn3l5oboEyx5,0,1,BulletMiss,P2,P2Enemy,8,0,-1,None,None,True
qn3l5oboEyx5,0,1,Displacement,P1,P2,8,4.02,2.01,Farther,Away,True
qn3l5oboEyx5,0,1,EnemyHit,P1,P1Enemy,8,4.02,-1,None,None,True
qn3l5oboEyx5,0,2,EnemyKill,P2,P2Enemy,8,0,-1,None,None,True
qn3l5oboEyx5,10,2,EnemyHit,P1,P1Enemy,10,4.02,-1,None,None,True
qn3l5oboEyx5,24,2,EnemyHit,P1,P1Enemy,10,4.02,-1,None,None,True
qn3l5oboEyx5,24,2,Displacement,P2,P1,10,2.95,2,Closer,Sideways,True
qn3l5oboEyx5,24,0,BulletMiss,P1,P1Enemy,11,2.95,-1,None,None,True
qn3l5oboEyx5,24,0,EnemyHit,P2,P2Enemy,11,2.95,-1,None,None,True
qn3l5oboEyx5,24,0,EnemyHit,P2,P2Enemy,12,2.95,-1,None,None,True
qn3l5oboEyx5,24,0,EnemyHit,P2,P2Enemy,13,2.95,-1,None,None,True
qn3l5oboEyx5,24,1,EnemyKill,P2,P2Enemy,13,2.95,-1,None,None,True
