study_id,score,combo,event_type,event_actuator,event_receiver,elapse_time,distance_between_players,distance_since_last_displacement_trigger,distance_trend,movement_trend,is_first_playthrough
dFnaoU2Jvf5a,0,0,EnemyHit,P2,P2Enemy,3,0,-1,None,None,True
dFnaoU2Jvf5a,0,0,Displacement,P2,P1,3,5.11,2.01,Farther,Away,True
dFnaoU2Jvf5a,0,0,EnemyHit,P2,P2Enemy,4,5.11,-1,None,None,True
dFnaoU2Jvf5a,0,0,Displacement,P1,P2,5,4.24,2.02,Farther,Toward,True
dFnaoU2Jvf5a,0,0,EnemyHit,P1,P1Enemy,5,4.24,-1,None,None,True
dFnaoU2Jvf5a,0,1,EnemyKill,P2,P2Enemy,6,5.11,-1,None,None,True
dFnaoU2Jvf5a,0,1,EnemyHit,P1,P1Enemy,7,4.24,-1,None,None,True
dFnaoU2Jvf5a,0,1,EnemyHit,P2,P2Enemy,7,5.11,-1,None,None,True
dFnaoU2Jvf5a,6,0,Displacement,P1,P2,9,4.87,2.01,Farther,Sideways,True
dFnaoU2Jvf5a,6,0,EnemyHit,P1,P1Enemy,10,4.87,-1,None,None,True
dFnaoU2Jvf5a,6,0,EnemyHit,P2,P2Enemy,10,5.11,-1,None,None,True
dFnaoU2Jvf5a,6,0,BulletMiss,P2,P2Enemy,11,5.11,-1,None,None,True
dFnaoU2Jvf5a,6,0,EnemyHit,P1,P1Enemy,11,4.87,-1,None,None,True
dFnaoU2Jvf5a,6,0,BulletMiss,P1,P1Enemy,11,5.11,-1,None,None,True
dFnaoU2Jvf5a,6,1,EnemyKill,P2,P2Enemy,12,5.11,-1,None,None,True
dFnaoU2Jvf5a,6,1,BulletMiss,P2,P2Enemy,12,5.11,-1,None,None,True
dFnaoU2Jvf5a,6,1,EnemyHit,P1,P1Enemy,13,4.87,-1,None,None,True
dFnaoU2Jvf5a,6,1,BulletMiss,P1,P1Enemy,13,5.11,-1,None,None,True
dFnaoU2Jvf5a,6,1,BulletMiss,P2,P2Enemy,14,5.11,-1,None,None,True
dFnaoU2Jvf5a,12,1,Displacement,P2,P1,14,6.34,2.01,Farther,Sideways,True
dFnaoU2Jvf5a,12,0,EnemyHit,P2,P2Enemy,14,6.34,-1,None,None,True
dFnaoU2Jvf5a,12,0,EnemyHit,P2,P2Enemy,15,6.34,-1,None,None,True
dFnaoU2Jvf5a,12,0,EnemyHit,P2,P2Enemy,15,6.34,-1,None,None,True
dFnaoU2Jvf5a,12,0,EnemyHit,P2,P2Enemy,15,6.34,-1,None,None,True
dFnaoU2Jvf5a,12,0,EnemyHit,P1,P1Enemy,15,4.87,-1,None,None,True
dFnaoU2Jvf5a,12,0,EnemyHit,P2,P2Enemy,16,6.34,-1,None,None,True
dFnaoU2Jvf5a,12,0,EnemyHit,P2,P2Enemy,16,6.34,-1,None,None,True
dFnaoU2Jvf5a,12,0,EnemyHit,P1,P1Enemy,17,4.87,-1,None,None,True
dFnaoU2Jvf5a,12,0,BulletMiss,P2,P2Enemy,18,6.34,-1,None,None,True
dFnaoU2Jvf5a,12,0,Displacement,P2,P1,19,7.36,3.31,Farther,Away,True
dFnaoU2Jvf5a,2,0,GettingHit,P2Enemy,P2,19,7.36,-1,None,None,True
dFnaoU2Jvf5a,2,0,EnemyHit,P1,P1Enemy,19,4.87,-1,None,None,True
dFnaoU2Jvf5a,2,0,BulletMiss,P2,P2Enemy,20,7.36,-1,None,None,True
dFnaoU2Jvf5a,2,0,SecondaryAttack,P2,P2Enemy,21,7.36,-1,None,None,True
dFnaoU2Jvf5a,2,0,EnemyHit,P2,P2Enemy,21,7.36,-1,None,None,True
dFnaoU2Jvf5a,2,0,EnemyHit,P2,P2Enemy,21,7.36,-1,None,None,True
dFnaoU2Jvf5a,2,0,EnemyKill,P2,P2Enemy,21,7.36,-1,None,None,True
dFnaoU2Jvf5a,2,0,EnemyHit,P2,P2Enemy,21,7.36,-1,None,None,True
dFnaoU2Jvf5a,2,0,EnemyHit,P2,P2Enemy,21,7.36,-1,None,None,True
dFnaoU2Jvf5a,2,0,EnemyHit,P2,P2Enemy,22,7.36,-1,None,None,True
dFnaoU2Jvf5a,8,0,Displacement,P1,P2,23,8.13,6.92,Farther,Toward,True
dFnaoU2Jvf5a,0,0,GettingHit,P1Enemy,P1,23,8.13,-1,None,None,True
dFnaoU2Jvf5a,0,0,EnemyKill,P2,P2Enemy,24,7.36,-1,None,None,True
dFnaoU2Jvf5a,0,0,Buff,P1,P1Enemy,24,8.13,-1,None,None,True
dFnaoU2Jvf5a,0,0,Displacement,P2,P1,25,6.82,4.4,Closer,Away,True
dFnaoU2Jvf5a,0,0,Displacement,P1,P2,25,6.75,2.01,Closer,Toward,True
dFnaoU2Jvf5a,0,0,EnemyHit,P2,P2Enemy,26,6.82,-1,None,None,True
dFnaoU2Jvf5a,0,0,EnemyHit,P2,P2Enemy,26,6.82,-1,None,None,True
dFnaoU2Jvf5a,0,0,SecondaryAttack,P2,P2Enemy,26,6.82,-1,None,None,True
dFnaoU2Jvf5a,0,0,EnemyHit,P2,P2Enemy,26,6.82,-1,None,None,True
dFnaoU2Jvf5a,0,0,EnemyHit,P2,P2Enemy,27,6.82,-1,None,None,True
dFnaoU2Jvf5a,0,0,GettingHit,P1Enemy,P1,27,6.75,-1,None,None,True
dFnaoU2Jvf5a,0,0,EnemyKill,P2,P2Enemy,27,6.82,-1,None,None,True
dFnaoU2Jvf5a,0,0,EnemyHit,P1,P1Enemy,28,6.75,-1,None,None,True
dFnaoU2Jvf5a,0,0,EnemyHit,P1,P1Enemy,28,6.75,-1,None,None,True
dFnaoU2Jvf5a,0,0,EnemyHit,P1,P1Enemy,28,6.75,-1,None,None,True
dFnaoU2Jvf5a,0,0,EnemyHit,P1,P1Enemy,28,6.75,-1,None,None,True
dFnaoU2Jvf5a,0,0,EnemyHit,P1,P1Enemy,28,6.75,-1,None,None,True
dFnaoU2Jvf5a,0,0,EnemyHit,P1,P1Enemy,28,6.75,-1,None,None,True
dFnaoU2Jvf5a,0,0,EnemyHit,P1,P1Enemy,28,6.75,-1,None,None,True
dFnaoU2Jvf5a,0,0,EnemyHit,P1,P1Enemy,28,6.75,-1,None,None,True
dFnaoU2Jvf5a,0,0,EnemyHit,P1,P1Enemy,28,6.75,-1,None,None,True
dFnaoU2Jvf5a,0,0,Displacement,P2,P1,28,5.34,2.02,Closer,Away,True
dFnaoU2Jvf5a,0,0,EnemyKill,P2,P2Enemy,29,5.34,-1,None,None,True
dFnaoU2Jvf5a,0,1,EnemyKill,P2,P2Enemy,30,5.34,-1,None,None,True
dFnaoU2Jvf5a,0,0,GettingHit,P1Enemy,P1,30,6.75,-1,None,None,True
dFnaoU2Jvf5a,0,0,EnemyKill,P2,P2Enemy,31,5.34,-1,None,None,True
dFnaoU2Jvf5a,0,0,BulletMiss,P2,P2Enemy,31,5.34,-1,None,None,True
dFnaoU2Jvf5a,0,0,Displacement,P2,P1,31,4.36,2,Closer,Sideways,True
dFnaoU2Jvf5a,0,0,EnemyHit,P1,P1Enemy,32,6.75,-1,None,None,True
dFnaoU2Jvf5a,0,0,EnemyHit,P1,P1Enemy,33,6.75,-1,None,None,True
dFnaoU2Jvf5a,0,0,EnemyHit,P1,P1Enemy,33,6.75,-1,None,None,True
dFnaoU2Jvf5a,0,0,EnemyHit,P1,P1Enemy,33,6.75,-1,None,None,True
dFnaoU2Jvf5a,0,0,EnemyHit,P1,P1Enemy,33,6.75,-1,None,None,True
dFnaoU2Jvf5a,0,0,EnemyHit,P1,P1Enemy,33,6.75,-1,None,None,True
dFnaoU2Jvf5a,0,0,EnemyHit,P1,P1Enemy,33,6.75,-1,None,None,True
dFnaoU2Jvf5a,0,0,EnemyHit,P1,P1Enemy,33,6.75,-1,None,None,True
dFnaoU2Jvf5a,0,0,EnemyHit,P1,P1Enemy,33,6.75,-1,None,None,True
