study_id,score,combo,event_type,event_actuator,event_receiver,elapse_time,distance_between_players,distance_since_last_displacement_trigger,distance_trend,movement_trend,is_first_playthrough
gzaZ5KmpHdRP,0,0,Displacement,P2,P1,4,5,2.01,Farther,Sideways,True
gzaZ5KmpHdRP,0,0,EnemyHit,P2,P2Enemy,4,5,-1,None,None,True
gzaZ5KmpHdRP,0,0,EnemyHit,P2,P2Enemy,4,5,-1,None,None,True
gzaZ5KmpHdRP,0,0,EnemyHit,P2,P2Enemy,5,5,-1,None,None,True
gzaZ5KmpHdRP,0,1,EnemyKill,P2,P2Enemy,6,5,-1,None,None,True
gzaZ5KmpHdRP,0,1,EnemyHit,P1,P1Enemy,6,0,-1,None,None,True
gzaZ5KmpHdRP,0,1,EnemyHit,P2,P2Enemy,7,5,-1,None,None,True
gzaZ5KmpHdRP,0,1,EnemyHit,P1,P1Enemy,7,0,-1,None,None,True
gzaZ5KmpHdRP,6,1,EnemyKill,P2,P2Enemy,9,5,-1,None,None,True
gzaZ5KmpHdRP,6,2,EnemyKill,P1,P1Enemy,9,0,-1,None,None,True
gzaZ5KmpHdRP,6,2,BulletMiss,P1,P1Enemy,9,5,-1,None,None,True
gzaZ5KmpHdRP,6,2,EnemyHit,P1,P1Enemy,9,0,-1,None,None,True
gzaZ5KmpHdRP,6,2,BulletMiss,P1,P1Enemy,10,5,-1,None,None,True
gzaZ5KmpHdRP,6,2,BulletMiss,P2,P2Enemy,10,5,-1,None,None,True
gzaZ5KmpHdRP,6,2,EnemyHit,P1,P1Enemy,10,0,-1,None,None,True
gzaZ5KmpHdRP,6,2,BulletMiss,P2,P2Enemy,10,5,-1,None,None,True
gzaZ5KmpHdRP,30,0,BulletMiss,P1,P1Enemy,11,5,-1,None,None,True
gzaZ5KmpHdRP,30,0,BulletMiss,P2,P2Enemy,11,5,-1,None,None,True
gzaZ5KmpHdRP,30,0,EnemyHit,P1,P1Enemy,12,0,-1,None,None,True
gzaZ5KmpHdRP,30,0,BulletMiss,P1,P1Enemy,12,5,-1,None,None,True
gzaZ5KmpHdRP,30,0,BulletMiss,P2,P2Enemy,12,5,-1,None,None,True
gzaZ5KmpHdRP,30,0,SecondaryAttack,P2,P2Enemy,12,5,-1,None,None,True
gzaZ5KmpHdRP,30,0,EnemyHit,P2,P2Enemy,12,5,-1,None,None,True
gzaZ5KmpHdRP,30,0,Buff,P2,P2Enemy,12,5,-1,None,None,True
gzaZ5KmpHdRP,30,0,EnemyHit,P1,P1Enemy,13,0,-1,None,None,True
gzaZ5KmpHdRP,30,0,BulletMiss,P2,P2Enemy,13,5,-1,None,None,True
gzaZ5KmpHdRP,30,0,BulletMiss,P1,P1Enemy,13,5,-1,None,None,True
gzaZ5KmpHdRP,30,0,BulletMiss,P2,P2Enemy,13,5,-1,None,None,True
gzaZ5KmpHdRP,30,1,EnemyKill,P1,P1Enemy,14,0,-1,None,None,True
gzaZ5KmpHdRP,30,1,EnemyHit,P2,P2Enemy,14,5,-1,None,None,True
gzaZ5KmpHdRP,30,1,BulletMiss,P1,P1Enemy,15,5,-1,None,None,True
gzaZ5KmpHdRP,30,1,EnemyHit,P1,P1Enemy,15,0,-1,None,None,True
gzaZ5KmpHdRP,30,2,EnemyKill,P2,P2Enemy,15,5,-1,None,None,True
gzaZ5KmpHdRP,30,2,BulletMiss,P1,P1Enemy,15,5,-1,None,None,True
gzaZ5KmpHdRP,42,2,EnemyHit,P1,P1Enemy,16,0,-1,None,None,True
gzaZ5KmpHdRP,62,2,BulletMiss,P1,P1Enemy,17,5,-1,None,None,True
gzaZ5KmpHdRP,62,1,EnemyKill,P1,P1Enemy,18,0,-1,None,None,True
gzaZ5KmpHdRP,62,1,BulletMiss,P1,P1Enemy,18,5,-1,None,None,True
gzaZ5KmpHdRP,62,1,BulletMiss,P1,P1Enemy,19,5,-1,None,None,True
gzaZ5KmpHdRP,62,1,EnemyHit,P2,P2Enemy,19,5,-1,None,None,True
gzaZ5KmpHdRP,65,1,BulletMiss,P2,P2Enemy,19,5,-1,None,None,True
gzaZ5KmpHdRP,68,1,EnemyKill,P1,P1Enemy,20,0,-1,None,None,True
gzaZ5KmpHdRP,68,1,BulletMiss,P2,P2Enemy,20,5,-1,None,None,True
gzaZ5KmpHdRP,68,1,Displacement,P2,P1,20,8.71,5.79,Farther,Away,True
gzaZ5KmpHdRP,68,1,EnemyHit,P2,P2Enemy,20,8.71,-1,None,None,True
gzaZ5KmpHdRP,68,1,EnemyHit,P1,P1Enemy,20,0,-1,None,None,True
gzaZ5KmpHdRP,68,1,BulletMiss,P1,P1Enemy,21,8.71,-1,None,None,True
gzaZ5KmpHdRP,68,1,Displacement,P1,P2,21,8.61,2.02,Farther,Toward,True
gzaZ5KmpHdRP,68,1,BulletMiss,P2,P2Enemy,21,8.71,-1,None,None,True
gzaZ5KmpHdRP,68,1,BulletMiss,P1,P1Enemy,21,8.71,-1,None,None,True
gzaZ5KmpHdRP,68,2,EnemyKill,P2,P2Enemy,21,8.71,-1,None,None,True
gzaZ5KmpHdRP,80,2,BulletMiss,P2,P2Enemy,22,8.71,-1,None,None,True
gzaZ5KmpHdRP,80,2,BulletMiss,P1,P1Enemy,22,8.71,-1,None,None,True
gzaZ5KmpHdRP,80,2,BulletMiss,P2,P2Enemy,22,8.71,-1,None,None,True
