study_id,score,combo,event_type,event_actuator,event_receiver,elapse_time,distance_between_players,distance_since_last_displacement_trigger,distance_trend,movement_trend,is_first_playthrough
EcIXGsPG4PjL,0,0,Displacement,P2,P1,7,4.03,2.01,Farther,Toward,True
EcIXGsPG4PjL,0,0,EnemyHit,P2,P2Enemy,7,4.03,-1,None,None,True
EcIXGsPG4PjL,0,0,EnemyHit,P2,P2Enemy,7,4.03,-1,None,None,True
EcIXGsPG4PjL,0,0,EnemyHit,P1,P1Enemy,8,0,-1,None,None,True
EcIXGsPG4PjL,0,0,EnemyHit,P2,P2Enemy,8,4.03,-1,None,None,True
EcIXGsPG4PjL,0,0,Displacement,P1,P2,9,5.64,2,Farther,Away,True
EcIXGsPG4PjL,0,0,EnemyHit,P2,P2Enemy,9,4.03,-1,None,None,True
EcIXGsPG4PjL,0,0,BulletMiss,P2,P2Enemy,10,4.03,-1,None,None,True
EcIXGsPG4PjL,0,0,EnemyHit,P1,P1Enemy,12,5.64,-1,None,None,True
EcIXGsPG4PjL,0,0,EnemyHit,P1,P1Enemy,12,5.64,-1,None,None,True
EcIXGsPG4PjL,0,0,BulletMiss,P1,P1Enemy,12,4.03,-1,None,None,True
EcIXGsPG4PjL,0,0,Displacement,P2,P1,12,10.21,2.55,Farther,Away,True
EcIXGsPG4PjL,0,0,EnemyHit,P1,P1Enemy,13,5.64,-1,None,None,True
EcIXGsPG4PjL,0,0,BulletMiss,P2,P2Enemy,13,10.21,-1,None,None,True
EcIXGsPG4PjL,0,0,EnemyHit,P1,P1Enemy,13,5.64,-1,None,None,True
EcIXGsPG4PjL,0,1,EnemyKill,P2,P2Enemy,13,10.21,-1,None,None,True
EcIXGsPG4PjL,0,1,BulletMiss,P1,P1Enemy,13,10.21,-1,None,None,True
EcIXGsPG4PjL,0,1,BulletMiss,P2,P2Enemy,13,10.21,-1,None,None,True
EcIXGsPG4PjL,0,1,BulletMiss,P1,P1Enemy,13,10.21,-1,None,None,True
EcIXGsPG4PjL,0,2,EnemyKill,P1,P1Enemy,14,5.64,-1,None,None,True
EcIXGsPG4PjL,0,0,GettingHit,P1Enemy,P1,14,5.64,-1,None,None,True
EcIXGsPG4PjL,0,0,SecondaryAttack,P1,P1Enemy,14,5.64,-1,None,None,True
EcIXGsPG4PjL,0,0,EnemyHit,P1,P1Enemy,14,5.64,-1,None,None,True
EcIXGsPG4PjL,0,0,EnemyHit,P1,P1Enemy,14,5.64,-1,None,None,True
EcIXGsPG4PjL,0,0,EnemyKill,P1,P1Enemy,14,5.64,-1,None,None,True
EcIXGsPG4PjL,0,0,EnemyKill,P2,P2Enemy,15,10.21,-1,None,None,True
EcIXGsPG4PjL,0,0,BulletMiss,P1,P1Enemy,15,10.21,-1,None,None,True
EcIXGsPG4PjL,0,0,GettingHit,P2Enemy,P2,15,10.21,-1,None,None,True
EcIXGsPG4PjL,0,0,BulletMiss,P2,P2Enemy,15,10.21,-1,None,None,True
EcIXGsPG4PjL,0,0,BulletMiss,P1,P1Enemy,15,10.21,-1,None,None,True
EcIXGsPG4PjL,0,0,Displacement,P1,P2,16,11.31,2.88,Farther,Toward,True
EcIXGsPG4PjL,0,0,BulletMiss,P2,P2Enemy,16,10.21,-1,None,None,True
EcIXGsPG4PjL,0,0,EnemyHit,P2,P2Enemy,16,10.21,-1,None,None,True
EcIXGsPG4PjL,0,0,EnemyHit,P2,P2Enemy,16,10.21,-1,None,None,True
EcIXGsPG4PjL,0,0,EnemyHit,P2,P2Enemy,16,10.21,-1,None,None,True
EcIXGsPG4PjL,0,0,EnemyKill,P1,P1Enemy,16,11.31,-1,None,None,True
EcIXGsPG4PjL,0,0,SecondaryAttack,P2,P2Enemy,16,10.21,-1,None,None,True
EcIXGsPG4PjL,0,0,EnemyHit,P2,P2Enemy,16,10.21,-1,None,None,True
EcIXGsPG4PjL,0,0,EnemyHit,P2,P2Enemy,16,10.21,-1,None,None,True
EcIXGsPG4PjL,0,0,BulletMiss,P2,P2Enemy,16,10.21,-1,None,None,True
EcIXGsPG4PjL,0,0,BulletMiss,P2,P2Enemy,17,10.21,-1,None,None,True
EcIXGsPG4PjL,6,0,EnemyHit,P2,P2Enemy,18,10.21,-1,None,None,True
EcIXGsPG4PjL,6,0,EnemyHit,P1,P1Enemy,18,11.31,-1,None,None,True
EcIXGsPG4PjL,6,0,BulletMiss,P2,P2Enemy,18,10.21,-1,None,None,True
EcIXGsPG4PjL,6,0,BulletMiss,P2,P2Enemy,19,10.21,-1,None,None,True
EcIXGsPG4PjL,6,1,EnemyKill,P2,P2Enemy,19,10.21,-1,None,None,True
EcIXGsPG4PjL,0,0,GettingHit,P2Enemy,P2,19,10.21,-1,None,None,True
EcIXGsPG4PjL,0,0,BulletMiss,P2,P2Enemy,19,10.21,-1,None,None,True
EcIXGsPG4PjL,0,0,EnemyHit,P2,P2Enemy,20,10.21,-1,None,None,True
EcIXGsPG4PjL,0,0,BulletMiss,P2,P2Enemy,20,10.21,-1,None,None,True
EcIXGsPG4PjL,0,0,EnemyHit,P2,P2Enemy,21,10.21,-1,None,None,True
EcIXGsPG4PjL,0,0,BulletMiss,P1,P1Enemy,21,10.21,-1,None,None,True
EcIXGsPG4PjL,0,0,EnemyHit,P2,P2Enemy,21,10.21,-1,None,None,True
EcIXGsPG4PjL,0,0,EnemyKill,P2,P2Enemy,21,10.21,-1,None,None,True
EcIXGsPG4PjL,0,0,EnemyHit,P1,P1Enemy,21,11.31,-1,None,None,True
EcIXGsPG4PjL,0,0,BulletMiss,P1,P1Enemy,21,10.21,-1,None,None,True
EcIXGsPG4PjL,0,0,BulletMiss,P1,P1Enemy,22,10.21,-1,None,None,True
EcIXGsPG4PjL,6,0,EnemyHit,P1,P1Enemy,22,11.31,-1,None,None,True
EcIXGsPG4PjL,6,0,BulletMiss,P1,P1Enemy,23,10.21,-1,None,None,True
EcIXGsPG4PjL,6,0,SecondaryAttack,P1,P1Enemy,23,11.31,-1,None,None,True
EcIXGsPG4PjL,6,0,EnemyHit,P2,P2Enemy,23,10.21,-1,None,None,True
EcIXGsPG4PjL,6,1,EnemyKill,P1,P1Enemy,23,11.31,-1,None,None,True
EcIXGsPG4PjL,6,1,BulletMiss,P1,P1Enemy,23,10.21,-1,None,None,True
EcIXGsPG4PjL,6,1,EnemyHit,P1,P1Enemy,23,11.31,-1,None,None,True
EcIXGsPG4PjL,6,1,BulletMiss,P2,P2Enemy,23,10.21,-1,None,None,True
EcIXGsPG4PjL,6,1,EnemyHit,P1,P1Enemy,23,11.31,-1,None,None,True
EcIXGsPG4PjL,6,1,BulletMiss,P1,P1Enemy,24,10.21,-1,None,None,True
EcIXGsPG4PjL,6,1,EnemyHit,P2,P2Enemy,24,10.21,-1,None,None,True
EcIXGsPG4PjL,6,1,BulletMiss,P1,P1Enemy,24,10.21,-1,None,None,True
EcIXGsPG4PjL,12,1,EnemyHit,P1,P1Enemy,25,11.31,-1,None,None,True
EcIXGsPG4PjL,12,2,EnemyKill,P2,P2Enemy,25,10.21,-1,None,None,True
EcIXGsPG4PjL,12,2,BulletMiss,P1,P1Enemy,26,10.21,-1,None,None,True
EcIXGsPG4PjL,12,2,Displacement,P2,P1,26,12.78,3.55,Farther,Sideways,True
EcIXGsPG4PjL,12,3,EnemyKill,P1,P1Enemy,26,11.31,-1,None,None,True
EcIXGsPG4PjL,12,3,BulletMiss,P1,P1Enemy,26,12.78,-1,None,None,True
EcIXGsPG4PjL,12,3,EnemyHit,P2,P2Enemy,26,12.78,-1,None,None,True
EcIXGsPG4PjL,12,3,BulletMiss,P2,P2Enemy,26,12.78,-1,None,None,True
EcIXGsPG4PjL,12,3,SecondaryAttack,P2,P2Enemy,26,12.78,-1,None,None,True
EcIXGsPG4PjL,12,3,EnemyHit,P2,P2Enemy,27,12.78,-1,None,None,True
EcIXGsPG4PjL,12,3,BulletMiss,P2,P2Enemy,27,12.78,-1,None,None,True
EcIXGsPG4PjL,12,3,EnemyHit,P2,P2Enemy,27,12.78,-1,None,None,True
EcIXGsPG4PjL,30,4,EnemyKill,P1,P1Enemy,27,11.31,-1,None,None,True
EcIXGsPG4PjL,30,4,EnemyHit,P2,P2Enemy,27,12.78,-1,None,None,True
EcIXGsPG4PjL,46,4,Displacement,P2,P1,28,10.9,2.02,Closer,Sideways,True
EcIXGsPG4PjL,54,4,BulletMiss,P1,P1Enemy,28,10.9,-1,None,None,True
EcIXGsPG4PjL,54,4,EnemyHit,P2,P2Enemy,28,10.9,-1,None,None,True
EcIXGsPG4PjL,54,4,Displacement,P1,P2,28,10.64,2.01,Closer,Toward,True
EcIXGsPG4PjL,54,4,BulletMiss,P2,P2Enemy,28,10.9,-1,None,None,True
EcIXGsPG4PjL,54,4,EnemyHit,P1,P1Enemy,28,10.64,-1,None,None,True
EcIXGsPG4PjL,54,4,BulletMiss,P1,P1Enemy,29,10.9,-1,None,None,True
