Timestamp,You consent with all of the information above?,How old are you?,What is your gender?,What is your occupation?,Do you like bullet heaven games such as Vampire Survivors or Brotato?,How often do you play video games?,I was able to control my character without any issues.,I was able to use and understand all the abilities at my disposal.,Which player are you?,I was able to understand how the score system works.,1. How will you play (indicated by the researcher)?,Study ID 1,Study ID 2,2. How will you play (indicated by the researcher)?,Study ID 3,3. How will you play (indicated by the researcher)?,Study ID 4,4. How will you play (indicated by the researcher)?,1. How would you rate your FOCUS?,4. How would you rate your FOCUS?,4. How would you rate your CHALLENGE?,1. How would you rate your CHALLENGE?,2. How would you rate your FOCUS?,2. How would you rate your CHALLENGE?,3. How would you rate your FOCUS?,3. How would you rate your CHALLENGE?,"1. If your answer wasn't 5, please explain why.","2. If your answer wasn't 5, please explain why.","3. If your answer wasn't 5, please explain why.",Column 17
16/06/2025 11:33:55,Continue,21,Male,,I am not familiar with these games and/or have not formed an opinion on them.,I purposefully make time in my schedule to play video games.,5,4,Blue (P2),5,FOCUS - yourself,ByE9gBlhnymF,ByE9gBt4sYhB,FOCUS - partner,ByE9gB6a66wL,FOCUS - yourself,ByE9gBaD4gQs,FOCUS - partner,1,2,,,4,,1,,,O sistema de escolha de abilidades não da muito feedback visual sobre qual foi escolhida ,,
16/06/2025 11:34:08,Continue,23,Male,,I have played/watched others play them and I like them.,I purposefully make time in my schedule to play video games.,5,5,Orange (P1),5,FOCUS - yourself,ByE9gBlhnymF,ByE9gBt4sYhB,FOCUS - yourself,ByE9gB6a66wL,FOCUS - partner,ByE9gBaD4gQS,FOCUS - partner,5,4,,,5,,2,,,,,
16/06/2025 12:04:54,Continue,21,Male,,I am not familiar with these games and/or have not formed an opinion on them.,I purposefully make time in my schedule to play video games.,5,5,Blue (P2),5,FOCUS - yourself,x0tkqfNBpTcP,x0tkqfpaluMB,FOCUS - partner,x0tkqf8KM4jS,FOCUS - yourself,x0tkqfTlrgaJ,FOCUS - partner,5,5,,,2,,5,,,,,
16/06/2025 12:04:56,Continue,19,Male,,I have played/watched others play them and I like them.,I purposefully make time in my schedule to play video games.,5,5,Orange (P1),5,FOCUS - yourself,x0tkqfNBpTcP,x0tkqfpaluMB,FOCUS - yourself,x0tkqf8KM4jS,FOCUS - partner,x0tkqfTlrgaJ,FOCUS - partner,5,3,,,5,,3,,,,,
16/06/2025 12:48:17,Continue,23,Male,,I am not familiar with these games and/or have not formed an opinion on them.,I ocasionally play video games when the opportunity presents itself.,5,5,Blue (P2),4,FOCUS - yourself,r31OIPHuhRH6,r31OIPwbfZLy,FOCUS - partner,r31OIPm6lcRu,FOCUS - yourself,r31OIPgU7Wzz,FOCUS - partner,1,5,,,4,,1,,,,"A pontuação só foi apresentada no fim, não tinha visto que havia antes e depois já não consegui experimentar e perceber totalmente",
16/06/2025 12:48:27,Continue,23,Male,,I have played/watched others play them and I like them.,I ocasionally play video games when the opportunity presents itself.,5,5,Orange (P1),4,FOCUS - yourself,r31OIPHuhRH6,r31OIPwbfZLy,FOCUS - yourself,r31OIPm6lcRu,FOCUS - partner,r31OIPgU7Wzz,FOCUS - partner,1,5,,,1,,4,,,,Wasn't paying attention during the tutorial and no mention of it was made before the rule(?) book was shown at the end,
16/06/2025 13:23:10,Continue,23,Male,,I have played/watched others play them and I like them.,I purposefully make time in my schedule to play video games.,4,3,Blue (P2),5,FOCUS - yourself,zVTUSbQKLWkj,zVTUSbtEi7Yd,FOCUS - partner,zVTUSbhYpiVU,FOCUS - yourself,zVTUSbKCFNhz,FOCUS - partner,5,2,,,2,,4,,Initially had a hard time selecting abilities ,Some abilities were a bit confusing. I inferred that some influenced other colours but I wasnt sure how,,
16/06/2025 13:23:22,Continue,25,Male,,I am not familiar with these games and/or have not formed an opinion on them.,I do not play video games.,5,3,Orange (P1),3,FOCUS - yourself,zVTUSbQKLWkj,zVTUSbtEi7Yd,FOCUS - yourself,zVTUSbhYpiVU,FOCUS - partner,zVTUSbKCFNhz,FOCUS - partner,2,2,,,1,,3,,,I didn't understand the L1/L2 ability and what it did and how to choose between the 4 options. ,"Killing splitters gives points, but I didn't understand very well the sync system between the two players. Do we have to sync kills to gain more points or is it just individual combo?",
16/06/2025 14:40:36,Continue,23,Male,,I have played/watched others play them enough to understand I don't like them.,I purposefully make time in my schedule to play video games.,5,5,Orange (P1),5,FOCUS - yourself,m1usnGaZ4mQ7,m1usnGfRRZZm,FOCUS - yourself,m1usnGW9MK3b,FOCUS - partner,m1usnGNf6MDJ,FOCUS - partner,1,3,,,1,,5,,,,,
16/06/2025 14:40:37,Continue,22,Male,,I have played/watched others play them and I like them.,I purposefully make time in my schedule to play video games.,5,5,Blue (P2),5,FOCUS - yourself,m1usnGaZ4mQ7,m1usnGfRRZZm,FOCUS - partner,m1usnGW9MK3b,FOCUS - yourself,m1usnGNf6MDJ,FOCUS - partner,1,2,,,3,,1,,,,,
16/06/2025 15:12:25,Continue,21,Female,,I am not familiar with these games and/or have not formed an opinion on them.,I purposefully make time in my schedule to play video games.,5,4,Blue (P2),5,FOCUS - yourself,xaFrG3NbM6Pq,xaFrG3msKGvQ,FOCUS - partner,xaFrG3oi6yo9,FOCUS - yourself,xaFrG3ArzYiP,FOCUS - partner,2,3,,,4,,1,,,Não consegui perceber muito bem as diferenças de habilidade de quando alertamos no L1,,
16/06/2025 15:12:28,Continue,22,Male,,I have played/watched others play them and I like them.,I purposefully make time in my schedule to play video games.,5,4,Orange (P1),5,FOCUS - yourself,xaFrG3NbM6Pq,xaFrG3msKGvQ,FOCUS - yourself,xaFrG3oi6yo9,FOCUS - partner,xaFrG3ArzYiP,FOCUS - partner,2,3,,,3,,4,,,Without the written explanation at the end of the tutorial it was hard to understand the purpose of adding points to the enemies,,
