study_id,player,avg_score,max_score,avg_combo,max_combo,avg_distance_between_players,max_distance_between_players,avg_distance_since_last_displacement,max_distance_since_last_displacement,closer_distance_trend_count,same_distance_trend_count,farther_distance_trend_count,toward_movement_trend_count,away_movement_trend_count,sideways_movement_trend_count,buff_count,buff_on_p1enemy_count,buff_on_p2enemy_count,nerf_count,nerf_on_p1enemy_count,nerf_on_p2enemy_count,effect_on_p1enemy_count,effect_on_p2enemy_count,secondary_attack_count,getting_hit_count,bullet_miss_count,enemy_kill_count,enemy_hit_count,label
6t7WiR8xinXD,P1,1629.5132978723404,3009,1.8882978723404256,14,3.2613829787234048,7.17,4.228823529411764,14.84,10,0,7,7,5,5,9,0,9,2,0,2,0,0,22,9,86,78,153,FOCUS - partner
6t7WiR8xinXD,P2,1759.496835443038,3009,2.0411392405063293,14,3.3258227848101267,6.21,3.6876470588235293,10.9,7,0,10,5,8,4,7,5,2,0,0,0,10,0,25,13,17,77,160,FOCUS - partner
6t7WiRJz6MM8,P1,1953.5287671232877,3762,2.4657534246575343,12,4.447780821917809,7.82,3.132857142857143,5.69,6,0,8,4,3,7,7,6,1,3,2,1,12,4,26,11,75,83,146,FOCUS - yourself
6t7WiRJz6MM8,P2,2083.713768115942,3735,2.246376811594203,12,4.139130434782609,4.2,2.01,2.01,0,0,1,0,0,1,3,0,3,0,0,0,0,0,19,9,18,68,158,FOCUS - yourself
6t7WiRm8xmMM,P1,1312.7783933518006,2391,1.739612188365651,14,3.29808864265928,10.02,3.711666666666667,17.11,11,0,7,7,6,5,3,3,0,6,6,0,6,12,21,11,84,81,137,FOCUS - yourself
6t7WiRm8xmMM,P2,1404.84375,2391,1.9097222222222223,14,1.9296874999999996,1.95,2.0,2.0,1,0,0,0,0,1,5,4,1,1,1,0,8,2,20,13,24,79,145,FOCUS - partner
6t7WiRt6Y7Vq,P1,554.2275280898876,1815,1.4269662921348314,13,2.482837078651685,5.74,3.3366666666666664,5.98,2,0,1,1,0,2,4,2,2,3,3,0,4,6,22,19,81,83,141,FOCUS - partner
6t7WiRt6Y7Vq,P2,580.7201365187714,1815,2.068259385665529,14,2.6277815699658706,4.97,4.236666666666666,20.52,7,0,2,3,3,3,3,0,3,0,0,0,0,0,21,12,21,78,149,FOCUS - yourself
A4J07T6V0E73,P1,1890.5857519788917,3611,2.8839050131926123,12,2.6764116094986803,7.39,4.076,7.68,1,0,4,3,0,2,8,8,0,4,1,3,16,2,29,7,90,82,154,FOCUS - yourself
A4J07T6V0E73,P2,1820.421768707483,3652,2.7891156462585034,12,2.3303741496598636,7.83,7.148000000000001,25.49,6,0,4,1,4,5,3,2,1,6,4,2,4,8,17,7,48,75,128,FOCUS - partner
A4J07TOXsE93,P1,1103.7553191489362,2118,1.675531914893617,10,3.6675,8.59,5.351111111111111,30.0,5,0,4,7,2,0,13,3,10,0,0,0,6,0,28,15,87,83,141,FOCUS - partner
A4J07TOXsE93,P2,1154.363344051447,2118,1.6495176848874598,10,2.196012861736334,5.01,7.1425,22.09,2,0,2,0,2,2,3,3,0,8,7,1,6,14,22,12,29,70,163,FOCUS - partner
A4J07TPBSuai,P1,1246.4344262295083,3445,2.7841530054644807,19,2.0483879781420766,9.6,5.215999999999999,18.05,3,0,2,3,0,2,12,1,11,2,1,1,2,2,24,10,76,84,153,FOCUS - partner
A4J07TPBSuai,P2,1302.1302931596092,3410,2.794788273615635,19,3.2561889250814335,9.6,4.662222222222223,10.86,4,0,5,0,4,5,0,0,0,10,0,10,0,0,16,10,33,80,149,FOCUS - yourself
A4J07TZu7fQ2,P1,692.13074204947,1263,2.1130742049469964,12,5.0764664310954055,10.31,2.8688888888888893,6.56,8,0,10,5,9,4,6,6,0,0,0,0,12,0,13,21,54,52,119,FOCUS - yourself
A4J07TZu7fQ2,P2,684.5747126436781,1287,1.4827586206896552,12,3.8541954022988505,6.96,2.7239999999999993,5.14,2,0,3,2,2,1,0,0,0,5,0,5,0,0,8,19,21,40,76,FOCUS - yourself
A8EHBIQMAY7R,P1,2693.7432835820896,4960,2.582089552238806,15,5.292507462686568,12.16,7.242,14.63,2,0,3,1,1,3,7,2,5,2,1,1,4,2,20,8,28,79,186,FOCUS - yourself
A8EHBIQMAY7R,P2,2450.5689655172414,4952,2.4166666666666665,15,10.351867816091954,12.16,3.1133333333333333,8.65,2,0,4,0,2,4,9,8,1,2,0,2,16,0,10,15,63,84,159,FOCUS - partner
A8EHBIYcCPHl,P1,3393.3238636363635,6156,3.446022727272727,18,5.303181818181818,7.16,3.3625,5.22,2,0,2,1,2,1,7,7,0,1,1,0,14,2,24,8,53,85,170,FOCUS - yourself
A8EHBIYcCPHl,P2,3342.2535211267605,6131,3.6535211267605634,18,5.879718309859156,7.16,2.12,2.9,3,0,5,2,4,2,4,0,4,2,0,2,0,0,11,7,63,84,176,FOCUS - yourself
A8EHBIhxVwqG,P1,1663.5675675675675,3085,2.5615615615615615,13,13.730030030030031,17.72,9.965555555555556,49.8,6,0,3,4,2,3,8,5,3,0,0,0,10,0,17,7,28,73,191,FOCUS - partner
A8EHBIhxVwqG,P2,1462.174142480211,3157,1.7519788918205805,9,10.06976253298153,15.63,7.805555555555555,25.11,5,0,4,2,5,2,4,0,4,3,0,3,0,0,12,10,101,80,160,FOCUS - yourself
A8EHBIxXLmP4,P1,2139.617486338798,3623,2.8852459016393444,15,4.084644808743168,5.19,5.9079999999999995,14.93,3,0,2,2,2,1,7,4,3,5,0,5,8,0,11,10,13,64,251,FOCUS - partner
A8EHBIxXLmP4,P2,2006.0305084745762,3623,1.9898305084745762,15,4.59471186440678,4.79,7.405,12.8,1,0,1,1,0,1,6,6,0,1,1,0,12,2,8,15,44,79,140,FOCUS - partner
ByE9gB6a66wL,P1,1938.8969359331477,3880,2.777158774373259,11,11.25883008356546,24.52,4.353333333333333,17.96,9,0,9,6,8,4,15,0,15,1,0,1,0,0,23,2,74,70,156,FOCUS - partner
ByE9gB6a66wL,P2,1918.6975476839236,3880,2.8474114441416893,11,5.38,6.33,2.006,2.01,2,0,3,0,1,4,3,0,3,6,1,5,0,2,14,8,87,77,167,FOCUS - yourself
ByE9gBaD4gQS,P1,1006.8268156424581,2172,2.829608938547486,26,3.368212290502793,9.09,4.1454545454545455,13.49,6,0,5,3,4,4,8,0,8,5,0,5,0,0,17,4,93,83,137,FOCUS - partner
ByE9gBlhnymF,P1,1433.9394812680116,3616,2.5043227665706054,14,17.424409221902017,25.9,3.9255555555555555,10.85,2,0,7,4,1,4,12,11,1,2,0,2,22,0,23,14,32,79,176,FOCUS - yourself
ByE9gBlhnymF,P2,1227.2428115015975,3571,2.3003194888178915,14,4.15667731629393,4.17,2.01,2.01,0,0,1,0,1,0,8,2,6,1,0,1,4,0,5,7,70,71,150,FOCUS - yourself
ByE9gBt4sYhB,P1,350.3333333333333,642,1.6703296703296704,15,3.1378021978021984,3.39,2.01,2.01,1,0,1,1,0,1,3,2,1,12,11,1,4,22,15,3,68,94,76,FOCUS - yourself
ByE9gBt4sYhB,P2,359.30882352941177,642,1.7588235294117647,13,2.4067647058823525,2.45,2.0,2.0,1,0,0,1,0,0,3,2,1,11,4,7,4,8,8,22,101,79,115,FOCUS - partner
DUAYyb2Vtpww,P1,1314.2865497076023,2568,2.2046783625730995,18,6.088801169590643,14.29,3.4859999999999998,6.29,3,0,2,3,2,0,5,3,2,3,3,0,6,6,15,6,89,80,139,FOCUS - yourself
DUAYyb2Vtpww,P2,1425.8014184397164,2526,3.024822695035461,19,9.780177304964537,14.29,3.584166666666667,8.8,6,0,6,1,3,8,2,0,2,4,0,4,0,0,15,14,11,81,143,FOCUS - yourself
DUAYyb9VbZlO,P1,1594.131868131868,3276,2.467032967032967,13,4.088873626373627,13.19,2.641111111111111,4.88,6,0,3,2,4,3,7,4,3,4,2,2,8,4,13,8,89,80,154,FOCUS - partner
DUAYyb9VbZlO,P2,1756.5686900958467,3276,2.533546325878594,13,4.6309265175718854,13.19,2.96875,6.18,3,0,5,4,1,3,9,2,7,0,0,0,4,0,20,15,10,76,175,FOCUS - yourself
DUAYybmbMobK,P1,1584.8727735368957,4185,2.8244274809160306,18,2.4568447837150127,5.41,4.432,22.52,9,0,6,3,7,5,7,4,3,2,2,0,8,4,14,8,101,84,162,FOCUS - yourself
DUAYybmbMobK,P2,1755.8727272727272,4185,3.360606060606061,18,3.071636363636364,5.41,2.068,2.63,5,0,5,6,2,2,7,2,5,1,1,0,4,2,21,14,20,83,174,FOCUS - partner
DUAYybnpaeRu,P1,1956.015113350126,4043,2.8513853904282116,15,1.9008816120906804,10.75,3.7916666666666665,11.56,4,0,2,3,3,0,3,0,3,4,0,4,0,0,18,7,89,77,193,FOCUS - partner
DUAYybnpaeRu,P2,2100.751633986928,4034,2.895424836601307,14,5.213856209150327,11.59,3.8664285714285715,18.92,5,0,9,5,3,6,12,11,1,1,1,0,22,2,23,8,23,84,141,FOCUS - partner
EVb3AAK4jvZO,P1,621.0637583892617,1965,3.4295302013422817,17,5.589463087248323,8.55,3.642857142857143,9.4,4,0,3,2,2,3,0,0,0,4,4,0,0,8,9,14,69,64,131,FOCUS - yourself
EVb3AAK4jvZO,P2,630.1367521367522,2181,3.1709401709401708,18,7.564415954415952,8.55,2.026,2.12,1,0,4,1,1,3,2,0,2,8,0,8,0,0,19,4,105,84,124,FOCUS - yourself
EVb3AAN5FZxr,P1,843.5320512820513,1577,2.394230769230769,18,9.28080128205128,12.98,2.9871428571428575,5.13,3,0,4,2,2,3,0,0,0,1,1,0,0,2,14,15,75,76,124,FOCUS - yourself
EVb3AAN5FZxr,P2,834.3932584269663,1569,2.1207865168539324,18,6.092808988764047,6.92,6.7385714285714275,21.54,3,0,4,3,3,1,3,2,1,10,8,2,4,16,18,13,94,74,137,FOCUS - partner
EVb3AAf8musj,P1,669.1335403726708,1429,1.81055900621118,12,2.8639751552795034,5.82,2.783333333333333,4.08,3,0,3,2,3,1,7,2,5,3,0,3,4,0,10,11,82,78,125,FOCUS - partner
EVb3AAf8musj,P2,711.6309859154929,1483,1.9464788732394367,12,5.2251549295774655,5.82,3.526666666666667,6.58,1,0,2,2,1,0,2,1,1,11,9,2,2,18,21,12,92,74,140,FOCUS - partner
EVb3AAxEBQ5G,P1,400.12893081761007,1061,1.5849056603773586,13,4.73320754716981,5.36,2.01,2.01,0,0,1,0,1,0,1,1,0,7,0,7,2,0,13,23,64,71,138,FOCUS - partner
EVb3AAxEBQ5G,P2,414.0169971671388,1061,1.7592067988668556,13,3.8332294617563742,5.36,2.2327272727272724,3.33,8,0,3,4,2,5,0,0,0,9,0,9,0,0,20,5,130,82,96,FOCUS - yourself
EcIXGsAAKhEB,P1,1276.0625,2374,1.9553571428571428,11,2.80485119047619,6.02,4.596666666666667,9.76,2,0,1,1,0,2,7,1,6,4,1,3,2,2,10,7,89,75,141,FOCUS - partner
EcIXGsPG4PjL,P1,587.5227963525836,1002,1.6200607902735562,10,9.398115501519756,12.78,2.2966666666666664,2.88,1,0,2,2,1,0,2,2,0,4,2,2,4,4,16,16,67,80,141,FOCUS - yourself
EcIXGsU1VRx4,P1,1496.9117647058824,4952,3.8588235294117648,24,7.2214117647058815,9.93,2.4757142857142855,4.97,4,0,3,2,3,2,5,0,5,6,0,6,0,0,8,6,74,78,156,FOCUS - partner
EcIXGsobHfFU,P1,423.1759259259259,809,1.021604938271605,6,2.542191358024691,4.92,2.23,2.91,3,0,1,0,2,2,3,3,0,0,0,0,6,0,7,10,60,73,167,FOCUS - yourself
GLh037Idaudr,P1,447.1745152354571,963,1.0969529085872576,8,1.8561772853185594,2.62,4.76,7.51,1,0,1,1,0,1,0,0,0,2,2,0,0,4,10,27,98,84,138,FOCUS - yourself
GLh037OwzI4m,P1,237.12535612535612,540,1.0940170940170941,9,2.58965811965812,3.76,4.248333333333333,10.79,4,0,2,2,3,1,2,2,0,8,2,6,4,4,15,26,76,73,145,FOCUS - partner
GLh037RO4wiv,P1,386.2155172413793,669,1.0258620689655173,9,4.382011494252873,4.8,2.01,2.01,1,0,1,1,0,1,5,2,3,1,1,0,4,2,13,22,97,73,135,FOCUS - yourself
GLh037RO4wiv,P2,378.0347593582888,669,0.9732620320855615,9,3.377219251336898,3.82,2.005,2.01,2,0,0,1,0,1,5,0,5,3,0,3,0,0,17,19,93,79,156,FOCUS - yourself
GLh037TLeeiU,P1,236.3108108108108,411,0.772972972972973,8,1.8852702702702708,5.16,2.005,2.01,2,0,0,2,0,0,1,1,0,6,0,6,2,0,18,33,94,70,146,FOCUS - partner
GLh037TLeeiU,P2,247.93820224719101,412,0.8567415730337079,7,0.8766853932584269,5.16,16.272499999999997,57.55,3,0,1,0,3,1,9,1,8,2,0,2,2,0,15,15,104,84,123,FOCUS - yourself
Gh0zUXAF4TXz,P1,1856.6635220125786,3750,1.5660377358490567,12,4.662704402515723,7.81,5.391666666666667,15.92,2,0,4,3,2,1,6,6,0,1,1,0,12,2,19,9,35,80,162,FOCUS - yourself
Gh0zUXAF4TXz,P2,1878.4539249146758,3063,2.006825938566553,12,3.454266211604097,3.49,2.02,2.02,1,0,0,0,1,0,9,0,9,3,0,3,0,0,21,13,16,75,155,FOCUS - yourself
Gh0zUXRUyO5C,P1,1212.9753086419753,2085,1.7561728395061729,12,3.5931172839506176,4.16,6.756666666666667,29.61,3,0,3,2,3,1,6,6,0,2,1,1,12,2,18,16,24,79,173,FOCUS - yourself
Gh0zUXRUyO5C,P2,1237.14381270903,2085,1.648829431438127,11,2.0671571906354513,3.82,2.01,2.01,2,0,1,1,2,0,4,3,1,0,0,0,6,0,20,15,15,86,156,FOCUS - partner
Gh0zUXVmGL0X,P1,1725.0698412698412,4134,3.5936507936507938,28,1.8284761904761906,12.53,3.626428571428572,12.39,6,0,8,2,3,9,4,1,3,5,0,5,2,0,20,10,16,80,166,FOCUS - partner
Gh0zUXVmGL0X,P2,1752.6577181208054,4134,3.577181208053691,27,3.0653355704697987,9.91,3.528571428571429,11.85,6,0,8,7,4,3,6,6,0,2,2,0,12,4,20,10,23,84,139,FOCUS - partner
MG6rP73glYr5,P1,1263.1511936339523,2822,3.546419098143236,18,4.74419098143236,6.7,4.2475000000000005,10.96,2,0,2,1,2,1,2,2,0,13,10,3,4,20,26,7,109,87,129,FOCUS - yourself
MG6rP73glYr5,P2,1390.049822064057,2859,3.3843416370106763,17,1.5644128113879003,1.57,2.02,2.02,1,0,0,0,1,0,5,5,0,0,0,0,10,0,20,7,32,77,139,FOCUS - partner
MG6rP7ZCq4EX,P1,1636.6899441340781,3326,3.1927374301675977,23,4.418910614525139,5.5,2.5700000000000003,4.03,3,0,3,3,1,2,2,1,1,11,6,5,2,12,21,5,92,84,137,FOCUS - partner
MG6rP7ZCq4EX,P2,1849.4709677419355,3366,3.6129032258064515,23,1.9777741935483868,5.5,3.69875,12.71,5,0,3,2,3,3,7,1,6,3,0,3,2,0,20,13,31,81,147,FOCUS - yourself
MG6rP7vjlp5d,P1,1265.3379120879122,2627,2.771978021978022,11,2.71315934065934,3.99,2.0,2.0,2,0,0,1,0,1,7,6,1,8,5,3,12,10,22,4,99,75,147,FOCUS - yourself
MG6rP7vjlp5d,P2,1235.0079365079366,2627,2.7261904761904763,10,1.8794047619047627,3.99,2.01,2.01,2,0,0,0,1,1,3,0,3,6,0,6,0,0,16,6,21,82,116,FOCUS - yourself
MG6rP7zeY6YP,P1,1021.1820809248555,2201,1.939306358381503,14,5.627456647398844,8.93,14.59,32.32,1,0,3,1,2,1,11,0,11,2,0,2,0,0,21,4,75,77,152,FOCUS - partner
MG6rP7zeY6YP,P2,1102.4607843137255,2201,2.2058823529411766,14,4.477843137254903,8.93,2.6233333333333335,7.49,6,0,6,2,2,8,8,6,2,5,1,4,12,2,19,15,13,80,154,FOCUS - partner
VHRYoc28n7Hg,P1,1136.4101796407185,1969,2.125748502994012,11,2.979880239520958,5.04,2.33,3.04,4,0,2,1,1,4,2,0,2,10,0,10,0,0,19,7,74,81,135,FOCUS - partner
VHRYoc28n7Hg,P2,1165.9491017964071,1969,2.0808383233532934,11,2.976377245508983,5.04,2.022,2.08,4,0,1,1,2,2,7,1,6,4,0,4,2,0,11,15,92,86,114,FOCUS - yourself
VHRYocEOGzQz,P1,1214.7437325905291,2751,3.253481894150418,15,4.838300835654595,8.61,3.1966666666666663,9.41,4,0,5,4,3,2,4,4,0,2,2,0,8,4,22,8,77,84,153,FOCUS - yourself
VHRYocEOGzQz,P2,1092.2606382978724,2751,3.2872340425531914,15,3.5,6.26,2.734615384615384,4.7,5,0,8,3,6,4,0,0,0,11,0,11,0,0,12,8,135,90,107,FOCUS - yourself
VHRYoco7Oww7,P1,1392.905487804878,2347,2.2957317073170733,11,4.392225609756098,4.73,2.1933333333333334,2.57,2,0,1,3,0,0,2,1,1,9,0,9,2,0,16,10,68,83,137,FOCUS - partner
VHRYoco7Oww7,P2,1320.6986666666667,2347,2.4426666666666668,11,4.6981600000000014,4.73,2.54,3.07,1,0,1,0,2,0,3,1,2,10,10,0,2,20,15,10,107,75,153,FOCUS - partner
VHRYocw0blfK,P1,1272.9079365079365,2178,2.358730158730159,14,5.109174603174604,7.18,2.670833333333334,5.12,3,0,9,3,3,6,11,11,0,2,0,2,22,0,18,8,55,78,131,FOCUS - yourself
VHRYocw0blfK,P2,1164.1815286624203,2194,2.213375796178344,14,6.167452229299366,6.48,2.0425,2.15,2,0,2,2,1,1,1,1,0,10,8,2,2,16,12,11,86,70,120,FOCUS - partner
X5Jph6Fg8w1Z,P1,718.1346938775511,1321,2.220408163265306,12,1.5090204081632652,2.69,2.8324999999999996,3.55,3,0,1,3,0,1,1,1,0,7,5,2,2,10,25,4,45,65,94,FOCUS - yourself
X5Jph6Fg8w1Z,P2,725.3943661971831,1325,2.119718309859155,12,0.5370070422535212,2.66,2.4675,3.85,4,0,0,0,4,0,2,0,2,5,3,2,0,6,19,12,31,71,140,FOCUS - partner
